"Token","ShortName","Series","CompanyName","TickSize","LotSize","ScripCode","MarketLot","BCastFlag","AVMBuyMargin","AVMSellMargin","ScripID","ScripName","GroupName","NdFlag","NDSDate","NDEDate","SuspStatus","avmflag","SuspensionReason","Suspensiondate","DateOfListing","DateOfDeListing","IssuePrice","FaceValue","ISINCode","52WeeksHigh","52WeeksLow","LifeTimeHigh","LifeTimeLow","HighDate","LowDate","MarginPercentage","ExchangeCode"
"800078","03D001","DR","11.10% GOI LOAN 07/04/2003",115.1,1,"800078",0,0,0,0,"CG1110S9803","11.10% GOI LOAN 07/04/2003","","","","","","","","","","",94.2,100,"INY019980013",104.65,104.3,104.65,104.3,"","","","CG1110S9803"
"800004","03E001","DR","GOI LOAN 5.75% 2003",110.2,1,"800004",0,0,0,0,"CG0575S7303","GOI LOAN 5.75% 2003","","","","","","","","","","",90.2,100,"IN0019730012",0,0,0,0,"","","","CG0575S7303"
"800032","03E002","DR","GOI LOAN 11% 2003",112.25,1,"800032",0,0,0,0,"CG1100S8803","GOI LOAN 11% 2003","","","","","","","","","","",91.85,100,"IN0019880023",0,0,0,0,"","","","CG1100S8803"
"800049","04C001","DR","12.50% GOI LOAN 23/03/2004",114.4,1,"800049",0,0,0,0,"CG1250S9404","12.50% GOI LOAN 23/03/2004","","","","","","","","","","",93.6,100,"INY019930083",104,103.5,104,103.5,"","","","CG1250S9404"
"800081","04E001","DR","11.50% GOI LOAN 09/05/2004",118.6,1,"800081",0,0,0,0,"CG1150S9804","11.50% GOI LOAN 09/05/2004","","","","","","","","","","",97.1,100,"INY019980054",0,0,0,0,"","","","CG1150S9804"
"800051","04E002","DR","GOI LOAN 12.35% 2004",110,1,"800051",0,0,0,0,"CG1235S9404","GOI LOAN 12.35% 2004","","","","","","","","","","",90,100,"INY019940025",0,0,0,0,"","","","CG1235S9404"
"800007","04F001","DR","GOI LOAN 6.50% 2004",113.65,1,"800007",0,0,0,0,"CG0650S7704","GOI LOAN 6.50% 2004","","","","","","","","","","",93.05,100,"IN0019770026",0,0,0,0,"","","","CG0650S7704"
"800070","04F002","DR","GOI LOAN 12.59% 2004",0.02,1,"800070",0,0,0,0,"CG1259S9704","GOI LOAN 12.59% 2004","","","","","","","","","","",0.01,100,"INY019970063",0,0,0,0,"","","","CG1259S9704"
"800093","04I001","DR","11.98% GOI LOAN 08/09/2004",141.9,1,"800093",0,0,0,0,"CG1198S9804","11.98% GOI LOAN 08/09/2004","","","","","","","","","","",116.1,100,"INY019980211",0,0,0,0,"","","","CG1198S9804"
"800029","04J001","DR","GOI LOAN 11.30% 2004",121.05,1,"800029",0,0,0,0,"CG1130S8604","GOI LOAN 11.30% 2004","","","","","","","","","","",99.05,100,"IN0019860090",0,0,0,0,"","","","CG1130S8604"
